location,iso,Quality of Life,Healthcare,Cost of Living,Safety,GDP,Life Expectancy
Bangladesh,BGD,1,1,2.506110477,1,1,3.792079208
China,CHN,4.011637403,5.443634707,3.648525338,6.548963134,4.745989305,6.316831683
Cyprus,CYP,8.157002858,2.83443407,6.272119928,6.863479263,6.622994652,8.52970297
Georgia,GEO,5.218864843,2.729902072,1.953234479,8.55702765,3.598930481,4.222772277
Hong Kong,HKG,3.666190282,5.771578228,9.10102656,8.47235023,8.026737968,9.717821782
India,IND,4.546345447,5.986791164,1.381293792,4.563364055,2.548128342,1.787128713
Indonesia,IDN,3.521028991,4.623775905,3.242300798,4.127880184,3.959893048,2.856435644
Iran,IRN,1.377603103,2.824185835,3.497474336,3.53859447,5.315508021,4.712871287
Israel,ISR,8.341670069,7.249373719,9.677366792,6.934331797,6.727272727,8.336633663
Japan,JPN,10,8.858346618,10,8.479262673,7.136363636,9.212871287
Jordan,JOR,4.892711311,5.468230471,5.647384716,4.993663594,3.205882353,5.158415842
Kazakhstan,KAZ,2.679461004,2.619221134,2.270001629,1.331797235,5.901069519,3.881188119
Kuwait,KWT,5.200489996,3.748576634,5.163434903,6.044354839,8.524064171,5.054455446
Lebanon,LBN,4.356165782,5.423138237,6.649014176,4.556451613,4.409090909,5.158415842
Malaysia,MYS,5.447631686,6.185606923,3.513605996,1.881336406,6.286096257,5.351485149
Pakistan,PAK,4.253266639,4.646322022,1,4.43202765,1.922459893,1
Philippines,PHL,2.409350755,6.056479162,3.295095323,4.763824885,2.965240642,2.811881188
Qatar,QAT,9.476316864,7.251423366,7.168160339,10,10,5.99009901
Saudi Arabia,SAU,8.398632095,4.342974266,4.865732443,7.525345622,7.745989305,4.861386139
Singapore,SGP,7.831768069,6.747210203,9.670034219,6.766705069,9.101604278,10
South Korea,KOR,7.33840343,9.02846732,9.24181196,7.207373272,6.927807487,8.440594059
Sri Lanka,LKA,2.390057166,7.093600547,2.412253544,5.099078341,4.104278075,5.396039604
Taiwan,TWN,7.725193957,10,6.776600945,9.345046083,7.465240642,6.628712871
Thailand,THA,3.926194365,8.204509223,5.075444028,5.054147465,4.914438503,5.351485149
Turkey,TUR,6.243262556,6.534046914,2.863940036,5.225230415,5.981283422,5.054455446
United Arab Emirates,ARE,8.959983667,5.968344341,6.866058335,9.33640553,8.548128342,5.306930693
Vietnam,VNM,2.60320539,4.053974038,3.399217859,4.212557604,2.435828877,5.693069307
